#      time    totEnergy    potEnergy   kinEneryFl  kinEnergyWa    tempFluid     tempWall
  880.00000   0.4003E+04  -0.1951E+04   0.3255E+04   0.2699E+04   0.1458E+01   0.1500E+01
  885.00000   0.4066E+04  -0.1895E+04   0.3262E+04   0.2699E+04   0.1461E+01   0.1500E+01
  890.00000   0.4039E+04  -0.1847E+04   0.3187E+04   0.2699E+04   0.1427E+01   0.1500E+01
  895.00000   0.4106E+04  -0.1823E+04   0.3230E+04   0.2699E+04   0.1446E+01   0.1500E+01
  900.00000   0.4035E+04  -0.1935E+04   0.3270E+04   0.2699E+04   0.1464E+01   0.1500E+01
  905.00000   0.4134E+04  -0.1890E+04   0.3326E+04   0.2699E+04   0.1489E+01   0.1500E+01
  910.00000   0.4181E+04  -0.1861E+04   0.3343E+04   0.2699E+04   0.1497E+01   0.1500E+01
  915.00000   0.4029E+04  -0.1990E+04   0.3320E+04   0.2699E+04   0.1487E+01   0.1500E+01
  920.00000   0.4042E+04  -0.2000E+04   0.3342E+04   0.2699E+04   0.1496E+01   0.1500E+01
  925.00000   0.4117E+04  -0.1987E+04   0.3405E+04   0.2699E+04   0.1524E+01   0.1500E+01
  930.00000   0.4089E+04  -0.1988E+04   0.3378E+04   0.2699E+04   0.1512E+01   0.1500E+01
  935.00000   0.4135E+04  -0.1976E+04   0.3412E+04   0.2699E+04   0.1528E+01   0.1500E+01
  940.00000   0.4120E+04  -0.1987E+04   0.3408E+04   0.2699E+04   0.1526E+01   0.1500E+01
  945.00000   0.4136E+04  -0.1914E+04   0.3351E+04   0.2699E+04   0.1500E+01   0.1500E+01
  950.00000   0.4208E+04  -0.1860E+04   0.3369E+04   0.2699E+04   0.1508E+01   0.1500E+01
  955.00000   0.3985E+04  -0.2001E+04   0.3287E+04   0.2699E+04   0.1472E+01   0.1500E+01
  960.00000   0.4115E+04  -0.1944E+04   0.3360E+04   0.2699E+04   0.1505E+01   0.1500E+01
  965.00000   0.4113E+04  -0.1950E+04   0.3364E+04   0.2699E+04   0.1506E+01   0.1500E+01
  970.00000   0.4143E+04  -0.1961E+04   0.3404E+04   0.2699E+04   0.1524E+01   0.1500E+01
  975.00000   0.4139E+04  -0.2036E+04   0.3476E+04   0.2699E+04   0.1556E+01   0.1500E+01
  980.00000   0.4232E+04  -0.1906E+04   0.3439E+04   0.2699E+04   0.1540E+01   0.1500E+01
  985.00000   0.4197E+04  -0.1875E+04   0.3372E+04   0.2699E+04   0.1510E+01   0.1500E+01
  990.00000   0.4086E+04  -0.1988E+04   0.3375E+04   0.2699E+04   0.1511E+01   0.1500E+01
  995.00000   0.4207E+04  -0.1842E+04   0.3350E+04   0.2699E+04   0.1500E+01   0.1500E+01
 1000.00000   0.4186E+04  -0.1915E+04   0.3401E+04   0.2699E+04   0.1523E+01   0.1500E+01
 1005.00000   0.4159E+04  -0.1925E+04   0.3385E+04   0.2699E+04   0.1516E+01   0.1500E+01
 1010.00000   0.4190E+04  -0.1868E+04   0.3359E+04   0.2699E+04   0.1504E+01   0.1500E+01
 1015.00000   0.4169E+04  -0.1935E+04   0.3405E+04   0.2699E+04   0.1525E+01   0.1500E+01
 1020.00000   0.4220E+04  -0.1916E+04   0.3437E+04   0.2699E+04   0.1539E+01   0.1500E+01
 1025.00000   0.4245E+04  -0.1872E+04   0.3417E+04   0.2699E+04   0.1530E+01   0.1500E+01
 1030.00000   0.4160E+04  -0.1896E+04   0.3357E+04   0.2699E+04   0.1503E+01   0.1500E+01
 1035.00000   0.4116E+04  -0.1889E+04   0.3306E+04   0.2699E+04   0.1480E+01   0.1500E+01
 1040.00000   0.4127E+04  -0.2006E+04   0.3434E+04   0.2699E+04   0.1537E+01   0.1500E+01
 1045.00000   0.4216E+04  -0.1942E+04   0.3459E+04   0.2699E+04   0.1549E+01   0.1500E+01
 1050.00000   0.4175E+04  -0.1899E+04   0.3375E+04   0.2699E+04   0.1511E+01   0.1500E+01
 1055.00000   0.4060E+04  -0.2088E+04   0.3449E+04   0.2699E+04   0.1544E+01   0.1500E+01
 1060.00000   0.4080E+04  -0.1940E+04   0.3321E+04   0.2699E+04   0.1487E+01   0.1500E+01
 1065.00000   0.4127E+04  -0.1892E+04   0.3319E+04   0.2699E+04   0.1486E+01   0.1500E+01
 1070.00000   0.4011E+04  -0.1878E+04   0.3190E+04   0.2699E+04   0.1428E+01   0.1500E+01
 1075.00000   0.4056E+04  -0.1957E+04   0.3314E+04   0.2699E+04   0.1484E+01   0.1500E+01
 1080.00000   0.3943E+04  -0.2041E+04   0.3285E+04   0.2699E+04   0.1471E+01   0.1500E+01
 1085.00000   0.4044E+04  -0.1882E+04   0.3227E+04   0.2699E+04   0.1445E+01   0.1500E+01
 1090.00000   0.3932E+04  -0.2032E+04   0.3265E+04   0.2699E+04   0.1462E+01   0.1500E+01
 1095.00000   0.3885E+04  -0.2074E+04   0.3260E+04   0.2699E+04   0.1459E+01   0.1500E+01
 1100.00000   0.3903E+04  -0.2090E+04   0.3293E+04   0.2699E+04   0.1475E+01   0.1500E+01
 1105.00000   0.4015E+04  -0.2005E+04   0.3320E+04   0.2699E+04   0.1487E+01   0.1500E+01
 1110.00000   0.3933E+04  -0.1931E+04   0.3165E+04   0.2699E+04   0.1417E+01   0.1500E+01
 1115.00000   0.3857E+04  -0.2060E+04   0.3218E+04   0.2699E+04   0.1441E+01   0.1500E+01
 1120.00000   0.3851E+04  -0.2053E+04   0.3205E+04   0.2699E+04   0.1435E+01   0.1500E+01
 1125.00000   0.4001E+04  -0.1934E+04   0.3236E+04   0.2699E+04   0.1449E+01   0.1500E+01
 1130.00000   0.3921E+04  -0.1939E+04   0.3161E+04   0.2699E+04   0.1415E+01   0.1500E+01
 1135.00000   0.4016E+04  -0.1894E+04   0.3211E+04   0.2699E+04   0.1438E+01   0.1500E+01
 1140.00000   0.3905E+04  -0.2030E+04   0.3236E+04   0.2699E+04   0.1449E+01   0.1500E+01
 1145.00000   0.4079E+04  -0.1904E+04   0.3284E+04   0.2699E+04   0.1470E+01   0.1500E+01
 1150.00000   0.3900E+04  -0.2075E+04   0.3276E+04   0.2699E+04   0.1467E+01   0.1500E+01
 1155.00000   0.3973E+04  -0.1956E+04   0.3230E+04   0.2699E+04   0.1446E+01   0.1500E+01
 1160.00000   0.3961E+04  -0.1881E+04   0.3143E+04   0.2699E+04   0.1407E+01   0.1500E+01
 1165.00000   0.3859E+04  -0.2060E+04   0.3220E+04   0.2699E+04   0.1442E+01   0.1500E+01
 1170.00000   0.3908E+04  -0.1994E+04   0.3203E+04   0.2699E+04   0.1434E+01   0.1500E+01
 1175.00000   0.3804E+04  -0.2032E+04   0.3137E+04   0.2699E+04   0.1404E+01   0.1500E+01
 1180.00000   0.3954E+04  -0.2003E+04   0.3258E+04   0.2699E+04   0.1459E+01   0.1500E+01
 1185.00000   0.4004E+04  -0.1971E+04   0.3275E+04   0.2699E+04   0.1466E+01   0.1500E+01
 1190.00000   0.3894E+04  -0.2052E+04   0.3247E+04   0.2699E+04   0.1454E+01   0.1500E+01
 1195.00000   0.3909E+04  -0.1999E+04   0.3208E+04   0.2699E+04   0.1436E+01   0.1500E+01
 1200.00000   0.3916E+04  -0.1948E+04   0.3165E+04   0.2699E+04   0.1417E+01   0.1500E+01
 1205.00000   0.3949E+04  -0.2042E+04   0.3292E+04   0.2699E+04   0.1474E+01   0.1500E+01
 1210.00000   0.4007E+04  -0.2026E+04   0.3333E+04   0.2699E+04   0.1492E+01   0.1500E+01
 1215.00000   0.4149E+04  -0.1849E+04   0.3298E+04   0.2699E+04   0.1477E+01   0.1500E+01
 1220.00000   0.4043E+04  -0.1996E+04   0.3340E+04   0.2699E+04   0.1495E+01   0.1500E+01
 1225.00000   0.4061E+04  -0.1820E+04   0.3182E+04   0.2699E+04   0.1425E+01   0.1500E+01
 1230.00000   0.3982E+04  -0.1980E+04   0.3263E+04   0.2699E+04   0.1461E+01   0.1500E+01
 1235.00000   0.3985E+04  -0.1945E+04   0.3230E+04   0.2699E+04   0.1446E+01   0.1500E+01
 1240.00000   0.3917E+04  -0.2040E+04   0.3258E+04   0.2699E+04   0.1459E+01   0.1500E+01
 1245.00000   0.4101E+04  -0.1990E+04   0.3392E+04   0.2699E+04   0.1518E+01   0.1500E+01
